district,date,rainfall_mm,temperature_c,humidity_pct,sanitation_score,population_density,previous_cases,outbreak_label,district_encoded,week_of_year,rainfall_rolling,rainfall_anomaly
Takoradi,2023-02-17,16.22999136136213,30.867369287426627,73.81454078690487,0.6765514444691947,583.7861292763116,26,0,3,7,5.680632567916653,10.549358793445478
Kumasi,2023-02-18,0.8047345215509004,25.905107793518532,47.07737304894381,0.8998916822228917,112.77697102455132,16,0,2,7,5.865340017272305,-5.060605495721405
Cape Coast,2023-02-19,2.6775055726830344,18.515840260220767,66.89707805245195,0.7773435123941836,331.86879888717624,18,0,1,7,5.173131164148076,-2.495625591465042
Cape Coast,2023-02-20,0.4460671882525157,26.998439758763208,54.97025229448657,0.912966154275008,504.9493068419737,24,0,1,8,5.0395746609621455,-4.5935074727096294
Cape Coast,2023-02-21,28.8404080757538,21.743215531040853,62.6348721533106,0.8157293962915103,723.618019922291,11,0,1,8,8.192178839560063,20.648229236193735
Cape Coast,2023-02-22,3.4877343282911304,22.356916591251217,62.94224129013494,0.8922027366063987,759.8443403231196,19,0,1,8,8.86292879124512,-5.3751944629539885
Takoradi,2023-02-23,4.524096620444729,27.931820093775467,57.65592199683678,0.7992814966088799,995.8793616329104,17,0,3,8,9.324576553185544,-4.800479932740815
Tamale,2023-02-24,0.3471602541412708,31.19141535716818,52.16234334413603,0.7070705341078332,358.7600794453831,26,0,4,8,9.299849819657732,-8.952689565516462
Accra,2023-02-25,6.930681276079995,25.106357883680307,53.094589476837406,0.9789729299630688,584.3980916816276,24,0,0,8,3.8224181197392815,3.1082631563407137
Cape Coast,2023-02-26,1.178014191251316,26.544165062994814,50.83808084518758,0.7705569124394224,579.9911930736446,21,0,1,8,3.2449880854793274,-2.0669738942280116
Kumasi,2023-02-27,11.416574284058152,33.51107472317619,51.68177791769556,0.8025447592702692,465.08073350251374,14,0,2,9,4.968107501382683,6.448466782675469
Cape Coast,2023-02-28,1.1479441408041666,26.20376589744284,59.328217099506446,0.6102438197073746,252.24570445817815,17,0,1,9,5.1683034730484065,-4.02035933224424
Kumasi,2023-03-01,1.057852149044079,38.00841557090197,52.84240010889248,0.8128253947136382,979.7109068654582,23,0,2,9,3.700096191289428,-2.6422440422453493
Kumasi,2023-03-02,0.1861717092883608,27.82754822815772,66.8205206571262,0.7858038247414719,867.9854679999274,21,0,2,9,3.4521355707986894,-3.2659638615103286
Cape Coast,2023-03-03,3.19392896647732,16.19618620422091,74.87246155335927,0.5924191989735125,548.4997254648135,11,0,1,9,1.3964742414034816,1.7974547250738384
Takoradi,2023-03-04,4.160220518380903,28.766708105522664,54.19946758629957,0.5297935486765719,642.9208804156268,19,0,3,9,2.1495433357976657,2.0106771825832377
Kumasi,2023-03-05,0.3398347008957824,26.90579192441389,62.39404500535377,0.8021796598573856,304.5349482036961,27,0,2,9,1.9700389737605917,-1.6302042728648094
Kumasi,2023-03-06,7.470012967991861,31.448763770413727,64.99685110302934,0.8818461346751603,589.4083633525722,21,0,2,10,3.790999288436467,3.6790136795553945
Cape Coast,2023-03-07,3.0191732514681084,28.36590675634979,64.72002270919275,0.7617006854610041,725.4731198093282,9,0,1,10,3.747310359684164,-0.7281371082160555
Kumasi,2023-03-08,3.715788272962985,24.307720080081133,60.75955267916088,0.6133863126598229,563.6503255479299,17,0,2,10,3.6362022983296844,0.07958597463330053
Kumasi,2023-03-09,2.9059073589379016,18.87850881855317,67.42682418359722,0.8332609883465174,991.2566535264472,30,0,2,10,4.277720462840214,-1.371813103902312
Cape Coast,2023-03-10,2.5604910063746065,23.954883713569878,64.82248952680658,0.5400528633048012,650.2074906229535,25,0,1,10,3.050339972435901,-0.48984896606129436
Cape Coast,2023-03-11,4.100817285689374,20.7473977289535,47.62337577672702,0.7209168524009772,433.87634133295217,20,0,1,10,3.3207509809912166,0.7800663046981571
Accra,2023-03-12,0.8435150338047774,22.097382750976383,68.69156064389273,0.5816833791992101,794.9368248542543,28,0,0,10,2.6026826712016646,-1.7591676373968872
Takoradi,2023-03-13,1.0040254310431276,27.94289202210305,68.87290837266742,0.5922295255299417,253.41626042347784,22,0,3,11,2.127212189227971,-1.1231867581848436
Takoradi,2023-03-14,9.8947466414807,33.34952252175703,52.36713895821418,0.6011469745791018,446.0642323356399,20,0,3,11,3.9607760980044944,5.933970543476205
Kumasi,2023-03-15,14.604558546323428,26.973357649114902,60.37937835447602,0.693353528521989,412.2630553398273,20,0,2,11,6.586711413163008,8.01784713316042
Takoradi,2023-03-16,2.3365109373756927,19.02058468982408,66.83328992811069,0.5255751028101988,488.6263855969995,21,0,3,11,6.959960389055737,-4.6234494516800435
Kumasi,2023-03-17,1.57865682846333,27.223013341100703,57.90686180420639,0.6988967204645491,803.6018433358537,22,0,2,11,7.103618238410787,-5.524961409947457
Accra,2023-03-18,5.1641163254722855,30.983157433228257,70.72978047766011,0.7558537235573504,535.7557289470667,15,0,0,11,5.920960659408684,-0.7568443339363986
Cape Coast,2023-03-19,2.627447838036232,21.95108547840309,83.6387249461936,0.7416471424831625,814.6130052393664,30,0,1,11,2.926682982336885,-0.2992351443006531
Cape Coast,2023-03-20,0.1285707436632351,24.32991416663541,52.140139673650175,0.6913920502015203,618.8400128258793,19,0,1,12,2.3746979339087706,-2.2461271902455353
Cape Coast,2023-03-21,0.848918016497553,25.073440973645987,46.18955396846225,0.9195733040353762,407.8624911917998,21,0,1,12,2.1922632309173262,-1.3433452144197733
Takoradi,2023-03-22,6.293416299265227,21.0755084345888,63.03818595604876,0.5726633462102521,828.9808693151252,19,0,3,12,2.474588224365562,3.8188280748996655
Accra,2023-03-23,5.378248911587678,28.241402169219292,67.21562505126144,0.752848371890687,314.46070349778245,32,0,0,12,3.162288492753423,2.215960418834255
Takoradi,2023-03-24,0.1373492894222004,24.395259256961094,57.69133626155231,0.5310207084782772,301.944681819816,18,0,3,12,3.164483129193165,-3.027133839770965
Takoradi,2023-03-25,1.254964869333525,27.097662219535135,74.53260663321035,0.5355778394389549,554.0526316493522,16,0,3,12,3.265994842402158,-2.011029973068633
Accra,2023-03-26,1.313807894754655,20.562539110989498,46.61394200276752,0.7869329248385482,334.76432136588005,16,0,0,12,2.0210927412745145,-0.7072848465198596
Accra,2023-03-27,5.572073614139259,22.812708498382943,66.9291862303161,0.7830092124439105,108.1783314560947,20,0,0,13,2.06954891691241,3.502524697226849
Accra,2023-03-28,0.099536906460697,28.611906789138857,53.94139179241107,0.9390167564222284,683.4677745689214,25,0,0,13,2.060095821172034,-1.960558914711337
Accra,2023-03-29,0.549680293006864,23.135834239541165,77.19377906207296,0.7789368378300365,559.9844393251583,25,0,0,13,1.8837746770903687,-1.3340943840835047
Cape Coast,2023-03-30,8.045092136481207,33.63481925616703,79.92515353168119,0.9798955102024252,500.9660330438451,20,0,1,13,3.566595737522007,4.4784963989592
Tamale,2023-03-31,0.9833885472589268,23.001819071926988,52.33343412216652,0.5243474241999648,970.2716631564838,25,0,4,13,2.419424470801924,-1.4360359235429971
Tamale,2023-04-01,5.2884954446028845,26.12342362875943,54.5044286409142,0.5490038423903705,614.0792655666223,16,0,4,13,3.7166641053374705,1.571831339265414
Accra,2023-04-02,1.3602431110449762,29.662954159365448,68.59587886979801,0.5220329307851908,877.088420010446,24,0,0,13,3.9193048098469987,-2.5590616988020223
Tamale,2023-04-03,0.5237001674243567,17.908171335334842,56.12869350210485,0.59263842516677,225.5052125846441,18,0,4,14,2.038956817582786,-1.5152566501584295
Tamale,2023-04-04,1.3930975820572364,16.19595594009612,59.54588782067762,0.770635055470839,612.285816816485,21,0,4,14,2.1413840762823635,-0.748286494225127
Accra,2023-04-05,6.405474065485159,17.371718427149524,60.2538842054241,0.822786090713714,881.1816640578126,28,0,0,14,2.4206287315029322,3.984845333982227
Tamale,2023-04-06,9.679181687269647,31.31292051713591,40.80326843802344,0.5227925789743344,624.7951815519082,12,0,4,14,4.5003633755591,5.178818311710547
Takoradi,2023-04-07,8.866254999877821,22.240709270537767,59.86162253905763,0.9729854449227996,746.2127603143014,22,0,3,14,6.586002083672467,2.280252916205354
Kumasi,2023-04-08,2.5307124473754423,37.79099642834126,53.10272225935826,0.9210826883251906,434.8392110309866,19,0,2,14,6.870405800002017,-4.3396933526265755
Kumasi,2023-04-09,5.514383892022975,22.178762006713058,55.06877177600228,0.6483062410785465,183.20456533335997,33,0,2,14,6.647633256636471,-1.133249364613496
Accra,2023-04-10,1.146967051644904,25.922756515985185,74.43632003468814,0.538593765113234,512.1102656143643,20,0,0,15,4.514579597730285,-3.367612546085381
Cape Coast,2023-04-11,1.7346679430625842,32.71054976283938,47.43493105720744,0.5849435366095286,455.0314517549718,21,0,1,15,2.7316828335264765,-0.9970148904638922
Accra,2023-04-12,11.33299314315452,35.03046444079561,68.13205186747977,0.5634722068774863,880.3541641410526,14,0,0,15,4.932253007471246,6.400740135683273
Cape Coast,2023-04-13,0.065435941981425,35.30751788318199,57.21037069668191,0.5616418896494735,319.595772117225,18,0,1,15,3.570016019960858,-3.5045800779794334
Kumasi,2023-04-14,0.4469356981522456,31.041831152965717,57.202398315041656,0.7592808443328669,970.0608047815972,21,0,2,15,3.3950081815876936,-2.948072483435448
Accra,2023-04-15,1.165251401199076,30.120312629057317,67.90371896051711,0.6229237212467001,962.3243078240464,24,0,0,15,3.2526540461218163,-2.08740264492274
Takoradi,2023-04-16,0.1344526761215844,27.962634746005914,63.4005129456889,0.6790698582645722,322.8684787642948,18,0,3,15,0.4530189293635828,-0.3185662532419984
Tamale,2023-04-17,1.0010150164513638,28.89180538083319,65.70612997219531,0.9947526666921612,413.2467599295885,16,0,4,16,0.6869136979810675,0.3141013184702963
Cape Coast,2023-04-18,4.373843643721833,22.244071418357333,69.68184660532862,0.8421571244626724,906.0001667864964,15,0,1,16,1.6686406843734645,2.7052029593483686
Tamale,2023-04-19,2.735931591839002,20.909005582888465,56.686916168166775,0.9744903335235008,969.9599988064969,15,0,4,16,2.0613107320334456,0.6746208598055565
Tamale,2023-04-20,11.159315104109137,24.98312771294524,53.87763265492249,0.5712782775165578,499.0951925524397,23,0,4,16,4.817526339030334,6.341788765078803
Accra,2023-04-21,8.503479515097393,24.14907688737536,49.148494734422016,0.6910697374162846,388.89734107680806,18,0,0,16,6.693142463691841,1.8103370514055515
Tamale,2023-04-22,2.09136402584516,22.733859753363625,51.74589470021045,0.7773659016411771,573.4846119263879,21,0,4,16,6.122522559222673,-4.031158533377512
Takoradi,2023-04-23,1.5016312607363926,28.481937237283574,89.49094425308725,0.538379030944369,718.9922857291613,12,0,3,16,5.81394747644702,-4.312316215710627
Tamale,2023-04-24,2.3876990405426888,29.776526042852552,72.44679580736786,0.5020937218139789,346.12706383748184,28,0,4,17,3.6210434605554083,-1.2333444200127195
Accra,2023-04-25,4.461588750716526,25.44203443145924,46.48925633791978,0.8352171668984587,762.8258571571655,18,0,0,17,2.6105707694601916,1.8510179812563345
Takoradi,2023-04-26,1.5603085490763644,32.38765040527631,46.7754204325643,0.8209097584007177,146.49162140317694,23,0,3,17,2.477806900267993,-0.9174983511916288
Kumasi,2023-04-27,4.892811227735438,19.291554429332475,64.81866061718492,0.7053944049998059,144.3650434879748,22,0,2,17,3.325601892017754,1.5672093357176835
Tamale,2023-04-28,2.633180196399056,24.03170270360141,65.47264797377967,0.7448220380160163,447.6589346309907,20,0,4,17,3.3869721809818465,-0.7537919845827905
Accra,2023-04-29,4.015336832574223,21.415888396985977,65.48883835317365,0.7077215002960449,418.12587285464855,19,0,0,17,3.2754092014462706,0.7399276311279528
Kumasi,2023-04-30,2.86462697545556,15.6673169146347,57.45044206446302,0.5120025224224445,384.069893830437,18,0,2,17,3.6014888080410694,-0.7368618325855092
Kumasi,2023-05-01,1.7439998763116658,24.586596570786504,58.745457399971,0.6676858031087312,541.917786402019,23,0,2,18,2.8142859701851264,-1.0702860938734606
Cape Coast,2023-05-02,14.826336105761015,24.39126245808358,63.27879524159357,0.588541127698645,388.6602240804141,14,0,1,18,5.862574947525616,8.9637611582354
Takoradi,2023-05-03,7.211272518663181,32.567248716210656,60.8589300629333,0.5492120945506844,273.0321266212827,28,0,3,18,6.661558869047856,0.5497136496153248
Tamale,2023-05-04,0.7547724906151043,28.15405842277389,37.80699627252465,0.9783602169446748,378.5225941797409,20,0,4,18,6.134095247837742,-5.379322757222638
Accra,2023-05-05,10.14252463859662,19.879065878353977,57.70200369424806,0.7996798625210828,977.4138455292116,18,0,0,18,8.233726438408981,1.9087982001876398
Cape Coast,2023-05-06,3.3416016483095823,34.27046283167094,51.48593565739687,0.8643281421183013,470.0020752953637,20,0,1,18,5.362542824046122,-2.02094117573654
Takoradi,2023-05-07,11.247697451448715,31.10516847762677,61.75211418908512,0.6576818716330588,500.2414991725022,14,0,3,18,6.3716490572425055,4.87604839420621
Cape Coast,2023-05-08,8.043572269649502,27.91048851734308,89.85259002603411,0.6965735647470076,618.890490956026,29,0,1,19,8.193849002001105,-0.15027673235160321
Takoradi,2023-05-09,2.7687830962930366,23.86757950575084,63.67481665474304,0.6184619969483618,985.006691572804,16,0,3,19,6.350413616425209,-3.5816305201321725
Takoradi,2023-05-10,0.1136279473877005,20.2028038163826,56.86470313827602,0.5484828354827124,317.4411487921867,13,0,3,19,5.543420191194739,-5.4297922438070385
Tamale,2023-05-11,1.5645027388824335,23.13896611964473,69.21801501977252,0.5895158187207918,713.1538994791904,16,0,4,19,3.122621513053168,-1.5581187741707345
Takoradi,2023-05-12,3.900438778398981,30.44374309852093,64.82687887209212,0.8987570226482429,744.3862241875516,20,0,3,19,2.086838140240538,1.813600638158443
Cape Coast,2023-05-13,5.018486659672682,34.42293152967304,64.20094490451841,0.838772902591888,646.5919751137593,14,0,1,19,2.6492640310854494,2.3692226285872326
Takoradi,2023-05-14,1.4912733996446943,32.71621764136094,66.06850593215671,0.7734644379927385,179.72050567297967,20,0,3,19,2.993675394149698,-1.5024019945050036
Tamale,2023-05-15,0.7503720941535776,22.55575289106863,80.56543564829542,0.737544936433384,709.1850482448189,25,0,4,20,2.790142732967484,-2.0397706388139065
Tamale,2023-05-16,9.006935435811958,19.401912833554945,48.69111564674084,0.9612171418280622,157.68523993255792,24,0,4,20,4.066766897320727,4.94016853849123
Cape Coast,2023-05-17,20.80312081593617,25.70443123455602,64.73632076811454,0.5363674738893343,636.5283845949073,21,0,1,20,8.012925436386599,12.79019537954957
Kumasi,2023-05-18,3.729472734860434,16.157803172185744,50.73618870018461,0.6403004066189579,765.6230594995684,19,0,2,20,8.572475270190534,-4.8430025353301
Kumasi,2023-05-19,0.9417743183003696,26.615838570923906,65.55512646342248,0.674968926785357,289.8729015579554,22,0,2,20,8.620325826227232,-7.678551507926862
Takoradi,2023-05-20,1.5893823586446645,24.261987068506656,50.81313488513906,0.8912129061063939,857.4598067884966,22,0,3,20,6.765937556935408,-5.176555198290743
Accra,2023-05-21,0.09280943705383,22.66981749065879,55.82633186394916,0.9962573100809856,127.31842497970383,27,0,0,20,1.5883597122148236,-1.4955502751609937
Takoradi,2023-05-22,12.284442638467786,17.02648466366602,57.049100857620935,0.6203352573785765,859.4315772924755,12,0,3,21,3.7271021881166613,8.557340450351123
Cape Coast,2023-05-23,0.626405219231015,27.568000532848583,69.7581671934471,0.9371536670685404,514.2961455784886,20,0,1,21,3.648259913349323,-3.021854694118308
Cape Coast,2023-05-24,4.296203344340779,22.336495801690443,69.18454443942414,0.9153113802158956,295.82914593848005,17,0,1,21,4.324965159773352,-0.02876181543257239
Cape Coast,2023-05-25,1.6014066430139646,19.15041582144856,47.54282623553616,0.6123286988208834,220.4003304945712,22,0,1,21,4.702114461263385,-3.10070781824942
Cape Coast,2023-05-26,4.039177577034926,10.638688933591752,60.54934110999849,0.6996662900996113,957.9764508241352,13,0,1,21,2.6407981959051705,1.3983793811297556
Cape Coast,2023-05-27,5.269443169930135,24.862425474746814,52.90420145250828,0.7048364346462596,165.39902882304102,17,0,1,21,3.80155768357995,1.467885486350185
Tamale,2023-05-28,8.8521959621118,33.86125798334872,47.414950893246655,0.9891103342632792,279.1840779423331,16,0,4,21,4.940555838022705,3.911640124089095
Kumasi,2023-05-29,1.1560126375226791,33.30629607273935,57.82982949575629,0.5904459506894492,413.04011268974136,16,0,2,22,4.829207336649883,-3.673194699127204
Cape Coast,2023-05-30,0.0552836481584859,22.714518717068643,56.915172115441806,0.899578985552391,658.2113640650084,14,0,1,22,3.833233854430774,-3.7779502062722883
Accra,2023-05-31,0.7360403534369526,21.988939698191096,84.26716486345522,0.6670963570865549,590.3209767484885,21,0,0,22,2.6998831503074787,-1.963842796870526
Accra,2023-06-01,11.513857644265908,27.34387128037512,64.32959825360696,0.8654351728880803,213.0791431710826,18,0,0,22,3.3652985708460057,8.148559073419902
Accra,2023-06-02,10.353006760265613,20.008072804058543,46.22382499245763,0.7100055021478314,360.7551853643932,18,0,0,22,5.664547101531739,4.688459658733874
Accra,2023-06-03,4.549221550982463,26.50895949909733,54.352259958290574,0.78917988155827,314.87659397742163,15,0,0,22,6.788031577237733,-2.23881002625527
Tamale,2023-06-04,4.587918592526735,28.83040139192345,70.21383295429399,0.9163058866630656,292.18856904130723,18,0,4,22,7.75100113701018,-3.1630825444834443
Accra,2023-06-05,5.468671147037563,31.13466611942154,80.88442772869925,0.902082782491942,470.0299028319884,16,0,0,23,6.239704512703092,-0.771033365665529
Cape Coast,2023-06-06,0.9641101431927608,24.49922961760024,44.140166877620416,0.93321159176985,733.6283073324912,22,0,1,23,3.89248035843488,-2.9283702152421194
Takoradi,2023-06-07,12.291047803856507,23.98163124911517,41.20075614860955,0.5298086626723295,295.70763899551235,21,0,3,23,5.827936921653391,6.463110882203116
Accra,2023-06-08,2.7130481717315904,20.610087066217197,78.70965175371782,0.8460252765198724,430.0109917326833,22,0,0,23,5.359219316454604,-2.646171144723014
Tamale,2023-06-09,2.4155539966393422,20.8655982298007,63.89614177370904,0.5699936883608814,451.82568415704606,26,0,4,23,4.59594002885505,-2.1803860322157074
Tamale,2023-06-10,3.658584663113405,23.867605540492367,51.31707268123634,0.7079092840092055,978.8108764918692,23,0,4,23,5.26955865883521,-1.6109739957218054
Accra,2023-06-11,0.240523321459886,26.83682753408089,65.34629086122435,0.7742942075273442,959.199721191162,18,0,0,23,2.256927538236055,-2.016404216776169
Takoradi,2023-06-12,0.9093085252463616,29.567923131166246,33.64252260983122,0.7013697423734153,820.1238244768683,21,0,3,24,1.805992626614748,-0.8966841013683863
Accra,2023-06-13,6.697695452119817,20.98410524659828,60.03375506597161,0.7598058379015038,317.4930287372666,24,0,0,24,2.8765279904848664,3.8211674616349502
Tamale,2023-06-14,0.4321413783592179,32.46344284479761,63.27821172843085,0.9982631543993096,161.2335826825027,22,0,4,24,2.06991716929632,-1.637775790937102
Kumasi,2023-06-15,4.621011094925578,23.64438199478716,69.2427013953783,0.5676086568564274,385.2137239485623,21,0,2,24,3.165039112662743,1.455971982262835
Cape Coast,2023-06-16,1.407500168002204,24.89316352825782,49.861040477074624,0.8377280226682128,340.11509449044775,22,0,1,24,3.2895870233517037,-1.8820868553494998
Tamale,2023-06-17,2.4657112846259417,21.26394160426088,60.8568716140336,0.6980004831928076,555.3332201317545,25,0,4,24,2.231590981478235,0.23412030314770682
Accra,2023-06-18,1.7032609597707298,12.878798698635292,50.74575373940412,0.5665048994536643,799.9551190610138,21,0,0,24,2.5493708768311127,-0.846109917060383
Cape Coast,2023-06-19,2.1977423886142677,29.42022698180525,62.55383755674317,0.5793683816871548,872.4906449909722,18,0,1,25,1.9435537002532852,0.2541886883609825
Accra,2023-06-20,6.347819933193434,28.684219485462165,51.04653677636976,0.9746365531228084,860.3776768694577,19,0,0,25,3.1786336415510927,3.1691862916423412
Accra,2023-06-21,1.7628576980277544,23.59336221440893,55.9189916083978,0.939800748355881,423.708005100761,28,0,0,25,3.0029202449015457,-1.2400625468737914
Kumasi,2023-06-22,4.178217653528511,25.33495358612436,50.04184605209771,0.9535209802075107,718.5109091146146,13,0,2,25,3.621659418340991,0.5565582351875205
Cape Coast,2023-06-23,3.2317989334513086,27.579696088520496,66.51136241823657,0.9957663879136932,381.5507777717981,26,0,1,25,3.880173554550251,-0.6483746210989425
